_id,Calendar Year,Hospital and Health Service (2014),Facility ID,Facility Name,Mothers,Babies
1,1995,Cairns and Hinterland,211,Atherton,318,319
2,1995,Cairns and Hinterland,212,Babinda,17,17
3,1995,Cairns and Hinterland,214,Cairns,1649,1670
4,1995,Cairns and Hinterland,220,Gordonvale,1,1
5,1995,Cairns and Hinterland,222,Innisfail,317,318
6,1995,Cairns and Hinterland,223,Mareeba,226,230
7,1995,Cairns and Hinterland,224,Mossman,124,125
8,1995,Cairns and Hinterland,227,Tully,63,63
9,1995,Cairns and Hinterland,229,Gurriny Yealamucka PHC,13,13
10,1995,Central Queensland,133,Biloela,116,118
11,1995,Central Queensland,134,Blackwater,13,13
12,1995,Central Queensland,135,Emerald,271,273
13,1995,Central Queensland,136,Gladstone,540,546
14,1995,Central Queensland,139,Mount Morgan,9,9
15,1995,Central Queensland,140,Moura,40,40
16,1995,Central Queensland,141,Rockhampton,1071,1083
17,1995,Central Queensland,142,Springsure,29,29
18,1995,Central Queensland,143,Theodore,20,20
19,1995,Central Queensland,144,Capricorn Coast (Yeppoon),32,32
20,1995,Central Queensland,145,Woorabinda,7,7
21,1995,Central West,131,Alpha,9,9
22,1995,Central West,151,Aramac,2,2
23,1995,Central West,152,Barcaldine,18,18
24,1995,Central West,153,Blackall,19,19
25,1995,Central West,156,Longreach,87,87
26,1995,Central West,159,Winton,26,27
27,1995,Darling Downs,63,Cherbourg,6,6
28,1995,Darling Downs,70,Kingaroy,301,303
29,1995,Darling Downs,75,Murgon,2,2
30,1995,Darling Downs,77,Wondai,41,41
31,1995,Darling Downs,91,Chinchilla,66,66
32,1995,Darling Downs,92,Dalby,198,198
33,1995,Darling Downs,93,Goondiwindi,116,117
34,1995,Darling Downs,94,Inglewood,16,16
35,1995,Darling Downs,95,Jandowae,11,11
36,1995,Darling Downs,97,Miles,28,29
37,1995,Darling Downs,98,Millmerran,4,4
38,1995,Darling Downs,100,Stanthorpe,82,82
39,1995,Darling Downs,101,Tara,22,22
40,1995,Darling Downs,102,Taroom,17,17
41,1995,Darling Downs,103,Texas,11,11
42,1995,Darling Downs,104,Toowoomba,1413,1428
43,1995,Darling Downs,105,Warwick,195,195
44,1995,Gold Coast,50,Gold Coast,2252,2280
45,1995,Home Births,99999,na,242,242
46,1995,Mackay,171,Clermont,41,41
47,1995,Mackay,172,Mackay,838,852
48,1995,Mackay,173,Moranbah,46,46
49,1995,Mackay,174,Proserpine,185,186
50,1995,Mackay,175,Sarina,2,2
51,1995,Mackay,176,Dysart,65,65
52,1995,Mackay,192,Bowen,33,33
53,1995,Mackay,194,Collinsville,9,9
54,1995,Mackay,995,Mackay Base Hospital Birthing Centre,79,79
55,1995,Mater Public Hospitals,1,Mater Brisbane,1,1
56,1995,Mater Public Hospitals,3,Mater Mothers',5037,5119
57,1995,Metro North,5,Royal Brisbane,2,2
58,1995,Metro North,9,Royal Women's,4768,4892
59,1995,Metro North,16,Redcliffe,1176,1189
60,1995,Metro North,30,Caboolture,1087,1093
61,1995,Metro North,46,Kilcoy,35,35
62,1995,Metro North,994,RBWH Birthing Centre,87,87
63,1995,Metro South,25,Marie Rose Centre (Dunwich),3,3
64,1995,Metro South,29,Logan,2184,2206
65,1995,Metro South,41,Beaudesert,321,323
66,1995,North West,243,Cloncurry,6,6
67,1995,North West,245,Julia Creek,1,1
68,1995,North West,246,Mount Isa,637,639
69,1995,North West,247,Normanton,2,2
70,1995,North West,249,Mornington Island,2,2
71,1995,North West,252,Doomadgee,2,2
72,1995,Private,99999,na,12290,12509
73,1995,South West,111,Augathella,1,1
74,1995,South West,112,Charleville,62,63
75,1995,South West,113,Cunnamulla,30,30
76,1995,South West,115,Injune,1,1
77,1995,South West,116,Mitchell,13,13
78,1995,South West,117,Mungindi,2,2
79,1995,South West,118,Quilpie,8,8
80,1995,South West,119,Roma,160,162
81,1995,South West,120,St George,60,60
82,1995,Sunshine Coast,48,Maleny,22,22
83,1995,Sunshine Coast,49,Nambour,1996,2017
84,1995,Sunshine Coast,68,Gympie,437,439
85,1995,Torres and Cape,213,Bamaga,8,8
86,1995,Torres and Cape,216,Cooktown,11,11
87,1995,Torres and Cape,226,Thursday Island,198,198
88,1995,Torres and Cape,228,Weipa,9,9
89,1995,Torres and Cape,230,Aurukun PHC,4,4
90,1995,Torres and Cape,232,Wujal Wujal PHC,2,2
91,1995,Torres and Cape,233,Lockhart River PHC,1,1
92,1995,Torres and Cape,253,Kowanyama PHC,1,1
93,1995,Townsville,191,Ayr,250,252
94,1995,Townsville,193,Charters Towers,116,117
95,1995,Townsville,196,Ingham,144,144
96,1995,Townsville,197,Joyce Palmer HS,12,12
97,1995,Townsville,198,Townsville,1,1
98,1995,Townsville,199,Kirwan,1658,1680
99,1995,Townsville,244,Hughenden,12,12
100,1995,Townsville,248,Richmond,4,4
101,1995,Townsville,916,Magnetic Island HSC,1,1
102,1995,Unknown,999,Unknown,37,37
103,1995,West Moreton,15,Ipswich,1676,1697
104,1995,West Moreton,42,Boonah,15,15
105,1995,West Moreton,44,Esk,1,1
106,1995,West Moreton,45,Gatton,14,14
107,1995,West Moreton,47,Laidley,1,1
108,1995,Wide Bay,62,Bundaberg,882,894
109,1995,Wide Bay,64,Childers,3,3
110,1995,Wide Bay,66,Gayndah,10,10
111,1995,Wide Bay,67,Gin Gin,1,1
112,1995,Wide Bay,69,Hervey Bay,58,58
113,1995,Wide Bay,71,Maryborough,852,856
114,1995,Wide Bay,72,Monto,45,45
115,1995,Wide Bay,74,Mundubbera,22,22
116,1995,Wide Bay,996,Bundaberg Hospital Birthing Centre,24,24
117,1996,Cairns and Hinterland,211,Atherton,291,291
118,1996,Cairns and Hinterland,212,Babinda,23,23
119,1996,Cairns and Hinterland,214,Cairns,1573,1606
120,1996,Cairns and Hinterland,220,Gordonvale,4,4
121,1996,Cairns and Hinterland,222,Innisfail,322,324
122,1996,Cairns and Hinterland,223,Mareeba,220,225
123,1996,Cairns and Hinterland,224,Mossman,105,105
124,1996,Cairns and Hinterland,227,Tully,38,38
125,1996,Cairns and Hinterland,229,Gurriny Yealamucka PHC,10,10
